Designator,Mid X,Mid Y,Rotation,Layer
BZ1,159.887652,-135.737652,180.0,top
C1,154.712652,-107.162652,180.0,bottom
C10,157.337652,-125.212652,90.0,top
C11,161.712652,-113.212652,180.0,top
C12,175.087652,-105.500152,180.0,top
C13,175.112652,-103.900152,180.0,top
C14,149.975152,-122.037652,180.0,top
C15,147.712652,-122.962652,90.0,top
C16,154.237652,-126.637652,270.0,top
C17,170.712652,-119.062652,270.0,top
C18,154.912652,-120.687652,0.0,top
C19,172.262652,-119.037652,90.0,top
C2,154.687652,-108.737652,180.0,bottom
C20,149.025152,-136.225152,90.0,top
C21,150.575152,-137.350152,270.0,top
C22,154.562652,-135.837652,0.0,top
C26,170.212931,-129.162499,225.0,top
C27,171.85,-132.375,135.0,top
C3,172.062652,-122.537652,270.0,top
C4,169.187652,-116.512652,270.0,top
C5,174.262652,-116.412652,270.0,top
C6,185.437652,-112.702652,90.0,top
C7,186.4,-137.075,0.0,top
C8,184.27,-102.14,90.0,bottom
D1,152.212652,-105.612652,270.0,bottom
D12,151.887652,-118.937652,90.0,top
D13,155.462652,-128.587652,0.0,top
D14,156.887652,-119.392652,90.0,top
D2,157.662652,-111.387652,135.0,bottom
D3,157.712652,-119.417652,270.0,top
D5,159.177652,-121.142652,270.0,top
D7,192.462652,-105.162652,90.0,top
D8,192.787652,-133.987652,270.0,top
J1,158.087652,-101.437652,180.0,bottom
J2,188.162652,-129.512652,0.0,bottom
J3,149.217827,-104.504443,180.0,top
J4,165.462652,-104.772652,0.0,top
J5,169.212652,-104.772652,0.0,top
J6,168.087652,-111.012652,90.0,top
J7,188.387652,-103.725152,90.0,bottom
L1,179.837652,-112.350152,180.0,top
Q4,158.287652,-132.700152,90.0,bottom
R1,167.262652,-114.412652,270.0,top
R10,147.950152,-134.000152,0.0,top
R11,157.652652,-121.695152,90.0,top
R12,161.871015,-120.354289,45.0,top
R13,159.187652,-123.437652,90.0,top
R2,166.387652,-117.487652,270.0,top
R21,190.912652,-109.337652,90.0,top
R22,192.462652,-109.312652,90.0,top
R23,194.012652,-109.312652,90.0,top
R24,194.337652,-129.862652,90.0,top
R25,192.787652,-129.862652,90.0,top
R26,191.262652,-129.862652,90.0,top
R27,184.14,-107.56,270.0,bottom
R28,185.337652,-109.625152,270.0,top
R29,174.987652,-107.025152,180.0,top
R3,170.512652,-122.537652,270.0,top
R30,172.712652,-106.750152,90.0,top
R31,189.487652,-113.802652,0.0,top
R32,168.412931,-126.212499,45.0,top
R33,168.081883,-125.443547,45.0,top
R34,158.087652,-130.062652,0.0,top
R35,152.662652,-126.712652,270.0,top
R37,150.287652,-127.487652,180.0,top
R38,155.787652,-126.662652,270.0,top
R39,154.912652,-119.087652,0.0,top
R4,154.087652,-110.212652,180.0,bottom
R5,155.887652,-106.787652,180.0,top
R6,160.587652,-106.837652,0.0,top
R7,150.100152,-131.250152,270.0,top
R8,155.812652,-117.562652,0.0,top
R9,155.712652,-115.587652,0.0,top
U1,150.162652,-124.737652,0.0,bottom
U10,172.481883,-130.018547,315.0,bottom
U12,154.437652,-123.262652,180.0,bottom
U3,160.287652,-116.631891,45.0,bottom
U4,151.087652,-134.600152,180.0,bottom
U5,154.912652,-137.687652,90.0,top
U6,188.737652,-117.302652,270.0,bottom
U8,170.712652,-118.687652,0.0,bottom
U9,180.860526,-104.77342,225.0,bottom
Y1,171.712652,-115.637652,180.0,top
